Time [s],Coolant Temp [F],Engine Speed [RPM],Exhaust Gas Temp [F] 
40.922756,125.60000000000001,2590.65816,-
40.930304,125.60000000000001,2582.8455599999998,-
40.941596,125.60000000000001,2568.39225,-
40.952919,125.60000000000001,2635.97124,-
40.960461,125.60000000000001,2677.3780199999997,-
40.971692,125.60000000000001,2688.7062899999996,-
40.987012,125.60000000000001,2679.7218,-
40.990796,125.60000000000001,2709.8003099999996,-
41.001834,125.60000000000001,2741.05071,-
41.009404,125.60000000000001,2746.51953,-
41.020373,125.60000000000001,2735.19126,-
41.031604,125.60000000000001,2717.22228,-
41.04291,125.60000000000001,2714.48787,-
41.050408,125.60000000000001,2700.03456,-
41.061452,125.60000000000001,2671.5185699999997,-
41.072734,125.60000000000001,2625.0335999999998,-
41.09283,125.60000000000001,2625.0335999999998,-
41.092898,-,-,1436.437255859375
41.100319,125.60000000000001,2623.8617099999997,-
41.111326,125.60000000000001,2599.64265,-
41.12259,125.60000000000001,2574.2517,-
41.141157,125.60000000000001,2687.92503,-
41.15147,125.60000000000001,2695.7376299999996,-
41.16083,125.60000000000001,2687.1437699999997,-
41.17209,125.60000000000001,2720.7379499999997,-
41.201347,125.60000000000001,2759.41032,-
41.212647,125.60000000000001,2767.2229199999997,-
41.220182,125.60000000000001,2793.39513,-
41.231178,125.60000000000001,2800.42647,-
41.242483,125.60000000000001,2788.3169399999997,-
41.261289,125.60000000000001,2784.80127,-
41.272581,125.60000000000001,2784.41064,-
41.280143,125.60000000000001,2765.6603999999998,-
41.298624,-,-,1436.437255859375
41.302292,125.60000000000001,2720.34732,-
41.309854,125.60000000000001,2705.89401,-
41.321089,125.60000000000001,2676.20613,-
41.332369,125.60000000000001,2636.7525,-
41.34338,125.60000000000001,2598.86139,-
41.350906,125.60000000000001,2588.31438,-
41.362223,125.60000000000001,2565.65784,-
41.380689,125.60000000000001,2499.25074,-
41.402444,125.60000000000001,2454.71892,-
41.40998,125.60000000000001,2465.65656,-
41.421281,125.60000000000001,2451.20325,-
41.432213,125.60000000000001,2421.906,-
41.443467,125.60000000000001,2391.8274899999997,-
41.451032,125.60000000000001,2424.64041,-
41.462289,125.60000000000001,2438.70309,-
41.46985,125.60000000000001,2432.06238,-
41.48119,125.60000000000001,2414.48403,-
41.577365,-,-,1436.437255859375
41.59573,125.60000000000001,2538.31374,-
41.599483,125.60000000000001,2600.42391,-
41.621993,125.60000000000001,2596.51761,-
41.629507,125.60000000000001,2580.50178,-
41.640771,125.60000000000001,2637.14313,-
41.652048,125.60000000000001,2672.29983,-
41.659586,125.60000000000001,2674.2529799999998,-
41.681203,125.60000000000001,2684.01873,-
41.701695,125.60000000000001,2709.8003099999996,-
41.713016,125.60000000000001,2696.9095199999997,-
41.720498,125.60000000000001,2678.15928,-
41.731782,125.60000000000001,2686.36251,-
41.743035,125.60000000000001,2680.1124299999997,-
41.750468,125.60000000000001,2657.4558899999997,-
41.761455,125.60000000000001,2616.43974,-
41.772401,125.60000000000001,2631.67431,-
41.780031,-,-,1436.437255859375
41.790926,125.60000000000001,2659.0184099999997,-
41.805206,125.60000000000001,2643.3932099999997,-
41.812424,125.60000000000001,2634.79935,-
41.819998,125.60000000000001,2684.4093599999997,-
41.831255,125.60000000000001,2718.7848,-
41.842541,125.60000000000001,2720.34732,-
41.850029,125.60000000000001,2706.28464,-
41.861277,125.60000000000001,2744.5663799999998,-
41.872557,125.60000000000001,2768.39481,-
41.880056,125.60000000000001,2767.2229199999997,-
41.891351,125.60000000000001,2755.11339,-
41.922697,125.60000000000001,2753.55087,-
41.930232,125.60000000000001,2730.5036999999998,-
41.941502,125.60000000000001,2702.3783399999998,-
41.952789,125.60000000000001,2719.95669,-
41.96033,125.60000000000001,2721.51921,-
41.971588,125.60000000000001,2700.42519,-
41.982804,125.60000000000001,2665.65912,-
41.982871,-,-,1436.437255859375
41.990041,125.60000000000001,2678.94054,-
42.001341,125.60000000000001,2713.31598,-
42.015645,125.60000000000001,2716.4410199999998,-
42.01942,125.60000000000001,2702.3783399999998,-
42.030423,125.60000000000001,2690.65944,-
42.041684,125.60000000000001,2720.7379499999997,-
42.052952,125.60000000000001,2732.45685,-
42.060442,125.60000000000001,2720.7379499999997,-
42.071763,125.60000000000001,2692.6125899999997,-
42.082979,125.60000000000001,2698.4720399999997,-
42.094416,125.60000000000001,2700.81582,-
42.099765,125.60000000000001,2685.97188,-
42.122937,125.60000000000001,2657.06526,-
42.130524,125.60000000000001,2639.87754,-
42.141805,125.60000000000001,2632.0649399999998,-
42.152763,125.60000000000001,2609.7990299999997,-
42.160264,125.60000000000001,2568.7828799999997,-
42.17151,125.60000000000001,2577.76737,-
42.182805,125.60000000000001,2606.28336,-
42.1863,-,-,1436.437255859375
42.190044,125.60000000000001,2616.43974,-
42.201278,125.60000000000001,2604.72084,-
42.225163,125.60000000000001,2583.2361899999996,-
42.232664,125.60000000000001,2615.65848,-
42.23992,125.60000000000001,2609.4084,-
42.251167,125.60000000000001,2581.28304,-
42.262428,125.60000000000001,2565.26721,-
42.273361,125.60000000000001,2586.75186,-
42.280848,125.60000000000001,2590.65816,-
42.292146,125.60000000000001,2574.6423299999997,-
42.2997,125.60000000000001,2539.095,-
42.310706,125.60000000000001,2555.50146,-
42.330836,125.60000000000001,2601.98643,-
42.342145,125.60000000000001,2605.89273,-
42.349664,125.60000000000001,2589.48627,-
42.360986,125.60000000000001,2628.1586399999997,-
42.371993,125.60000000000001,2645.73699,-
42.387133,-,-,1436.437255859375
42.39054,125.60000000000001,2612.5334399999997,-
42.401827,125.60000000000001,2627.37738,-
42.412804,125.60000000000001,2655.89337,-
42.420364,125.60000000000001,2664.0966,-
42.439698,125.60000000000001,2633.23683,-
42.45066,125.60000000000001,2660.5809299999996,-
42.461659,125.60000000000001,2669.56542,-
42.472623,125.60000000000001,2657.06526,-
42.480181,125.60000000000001,2635.97124,-
42.491467,125.60000000000001,2623.8617099999997,-
42.502747,125.60000000000001,2627.76801,-
42.510281,125.60000000000001,2616.8303699999997,-
42.520803,125.60000000000001,2597.6895,-
42.541473,125.60000000000001,2605.5020999999997,-
42.552563,125.60000000000001,2642.2213199999997,-
42.560102,125.60000000000001,2651.9870699999997,-
42.571404,125.60000000000001,2644.9557299999997,-
42.582386,125.60000000000001,2638.31502,-
42.589865,125.60000000000001,2659.0184099999997,-
42.589926,-,-,1436.437255859375
42.601194,125.60000000000001,2657.84652,-
42.612448,125.60000000000001,2644.17447,-
42.619702,125.60000000000001,2609.7990299999997,-
42.639846,125.60000000000001,2625.81486,-
42.651128,125.60000000000001,2612.14281,-
42.662356,125.60000000000001,2585.57997,-
42.669902,125.60000000000001,2565.26721,-
42.681192,125.60000000000001,2605.11147,-
42.692459,125.60000000000001,2628.9399,-
42.699968,125.60000000000001,2625.0335999999998,-
42.711228,125.60000000000001,2601.5958,-
42.722182,125.60000000000001,2624.25234,-
42.739596,125.60000000000001,2677.76865,-
42.739628,125.60000000000001,2690.26881,-
42.750913,125.60000000000001,2687.5344,-
42.762184,125.60000000000001,2679.33117,-
42.769443,125.60000000000001,2700.42519,-
42.780707,125.60000000000001,2704.72212,-
42.792046,125.60000000000001,2689.8781799999997,-
42.792114,-,-,1436.437255859375
42.802996,125.60000000000001,2657.4558899999997,-
42.81049,125.60000000000001,2676.98739,-
42.82179,125.60000000000001,2706.6752699999997,-
42.842929,125.60000000000001,2705.89401,-
42.850488,125.60000000000001,2685.5812499999997,-
42.872749,125.60000000000001,2761.7540999999997,-
42.880303,125.60000000000001,2759.80095,-
42.891565,125.60000000000001,2749.64457,-
