LOGNAME,1283748,0028.csv
VER,1283752,3
MSG,1308409,CAN init done
MSG,1321400,I2C init done
MSG,acc_mag found
ERR,am whoami,0
MSG,1349400,Sending CAN test message
CAN,1936978,1,01F0A012,0649000000003200
CAN,1939684,1,01F0A000,000045C4028F1628
CAN,1940012,1,01F0A003,811400000030041B
CAN,1940338,1,01F0A004,03D4000200000100
CAN,1940659,1,01F0A005,000000000000000E
CAN,1945050,1,0C001000,012D000000000000
CAN,1945914,1,0C201000,0140000000000000
CAN,1946525,1,0C301000,015F000000000000
CAN,1949673,1,01F0A000,0000457F02751628
CAN,1950010,1,01F0A003,811400000030041B
CAN,1950334,1,01F0A004,03D1000100000100
CAN,1950656,1,01F0A005,000000000000000E
CAN,1951020,1,01F0A006,0080000000008000
CAN,1951344,1,01F0A007,FFFF00CC00320A00
CAN,1951682,1,01F0A009,0000800103E80000
CAN,1955196,1,0C101000,0142000000000000
CAN,1955599,1,0C001000,012F000000000000
CAN,1956472,1,0C201000,0141000000000000
CAN,1957078,1,0C301000,0161000000000000
CAN,1959071,1,01F0A020,0000000000000000
CAN,1959404,1,01F0A010,0000000000323200
CAN,1959725,1,000A0630,FFFFFFFF00000000
CAN,1960028,1,01F0A022,0000000000000000
CAN,1960324,1,01F0A000,00004551025B1628
CAN,1960648,1,01F0A011,0000000000000000
CAN,1961026,1,01F0A003,811400000030041B
CAN,1961347,1,01F0A012,0649000000003200
CAN,1961644,1,01F0A004,03CE000100000100
CAN,1961977,1,01F0A005,000000000000000E
CAN,1966157,1,0C001000,012C000000000000
CAN,1967015,1,0C201000,0143000000000000
CAN,1967623,1,0C301000,0160000000000000
ACC,1969055,29280,-163968,1011136
GYR,1970025,296,687,-39
CAN,1970038,1,01F0A000,000045A3025B1628
CAN,1970925,1,01F0A003,811400000030041B
CAN,1971439,1,01F0A00B,03E8000000003200
CAN,1971736,1,01F0A00D,0012E00000032400
CAN,1972039,1,000A0620,0000000000000000
CAN,1972326,1,01F0A00A,6464646464640000
CAN,1972624,1,01F0A004,03D2000100000100
CAN,1973038,1,01F0A005,000000000000000E
CAN,1973364,1,01F0A006,0080000000008000
CAN,1973688,1,01F0A007,FFFF00CC00320A00
CAN,1974037,1,01F0A009,0000800103E80000
CAN,1976370,1,0C101000,0142000000000000
CAN,1976722,1,0C001000,012A000000000000
CAN,1977558,1,0C201000,0140000000000000
CAN,1978159,1,0C301000,0161000000000000
CAN,1979677,1,01F0A000,0000457902631628
CAN,1980004,1,01F0A003,811400000030041B
CAN,1980328,1,01F0A004,03D0000100000100
